Time,Amount,Class
0,149.62,0.0
0,2.69,0.0
1,378.66,0.0
1,123.5,0.0
2,69.99,0.0
2,3.67,0.0
4,4.99,0.0
7,40.8,0.0
7,93.2,0.0
9,3.68,0.0
10,7.8,0.0
10,9.99,0.0
10,121.5,0.0
11,27.5,0.0
12,58.8,0.0
12,15.99,0.0
12,12.99,0.0
13,0.89,0.0
14,46.8,0.0
15,5.0,0.0
16,231.71,0.0
17,34.09,0.0
18,2.28,0.0
18,22.75,0.0
22,0.89,0.0
22,26.43,0.0
23,41.88,0.0
23,16.0,0.0
23,33.0,0.0
23,12.99,0.0
24,17.28,0.0
25,4.45,0.0
26,6.14,0.0
26,6.14,0.0
26,1.77,0.0
26,1.77,0.0
27,30.49,0.0
27,1.8,0.0
29,20.53,0.0
29,6.54,0.0
32,29.89,0.0
32,2.35,0.0
33,14.8,0.0
33,9.1,0.0
34,15.99,0.0
34,21.34,0.0
34,18.95,0.0
34,9.99,0.0
35,30.9,0.0
35,20.22,0.0
35,0.99,0.0
36,1402.95,0.0
36,7.99,0.0
36,2.09,0.0
37,0.99,0.0
38,21.76,0.0
39,120.96,0.0
39,13.84,0.0
40,13.84,0.0
41,2.67,0.0
41,169.05,0.0
41,96.94,0.0
41,34.13,0.0
42,32.51,0.0
42,243.66,0.0
44,21.55,0.0
44,59.9,0.0
44,0.75,0.0
44,45.71,0.0
46,35.0,0.0
46,67.97,0.0
46,11.45,0.0
47,3.63,0.0
48,21.66,0.0
48,26.72,0.0
49,13.18,0.0
49,59.99,0.0
49,135.51,0.0
50,9.79,0.0
50,14.8,0.0
51,1.98,0.0
52,6.67,0.0
52,1.46,0.0
53,89.17,0.0
54,7.53,0.0
55,200.01,0.0
55,0.76,0.0
56,20.22,0.0
56,10.84,0.0
59,1142.02,0.0
59,149.9,0.0
60,89.4,0.0
60,26.72,0.0
62,5.99,0.0
64,34.7,0.0
64,54.99,0.0
64,7.55,0.0
67,19.85,0.0
67,28.28,0.0
68,15.99,0.0
68,2.69,0.0
68,22.36,0.0
69,0.78,0.0
69,168.56,0.0
69,0.76,0.0
69,9.47,0.0
70,21.8,0.0
71,14.48,0.0
73,1.0,0.0
73,1.0,0.0
73,70.6,0.0
73,19.77,0.0
74,1.18,0.0
74,1.18,0.0
74,1.18,0.0
